"UKey","LatinName","SwedishName","FungiData","ExportFileUKey","CompletedBy","HasPic","PicCount","Signature","FungiGroup","Difficulty","FoodValue1","CookingRequired","FoodValue2","HatFungi","HatSubType","HatSubColor","HatSubGrowth","HatSubDensity","ScaledHat","DottedHat","LinedHat","GroupedGrowth","FootRing","GrowthMethod","Habitat","BodyColor","BodySizeMinimum","BodySizeMaximum","BodyHeightMinimum","BodyHeightMaximum","FootColor","FootSizeMinimum","FootSizeMaximum","MeatColor","VisibleMeatJuice","MeatJuiceColor","SporeColor","SporeWidthMin","SporeWidthMax","SporeHeightMin","SporeHeightMax","SporeProps","SporeNote","Occurence","Season","Smell","Taste","CreatedBy","Timestamp"
"020AAAIFQRCAYPNKLE","Tricholoma virgatum","Gallmusseron","CPLD","","060AAAAAAAAAAAAAAA","True","8","GAMUS","Musseroner","1","2","1","2","0","0","13359844|16777215|","01000","0","3","3","1","3","3","100000","110000000000000","3292255|5735846|16777215|","50","90","","","13690602|16777215|","5","10","13690602|16777215|","3","","13690602|16777215|","5","6","6","7","110100000000000000","","33333333","000000139421","Unken","Bitter","","AAAAAAAMHXOWGTU"
"020AAAIFQRBWTFIZBL","Oligoporus caesius","Blåticka","UNCP","","","True","2","BÅTKA","Tickor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAAAAAAMHXOWDZB"
"020AAAIFQRBUFSKZYO","Gyroporus cyanescens","Blåsopp","CPLD","","060AAAAAAAAAAAAAAA","True","7","BÅSOP","Soppar","2","3","1","2","0","1","13891070|4325442|","01100","0","3","3","3","3","3","100000","110000000000000","1982647|8118779|13891070|","50","140","","","4955603|16777215|","20","50","16777215|4325442|","3","","13891070|","5","6","8","10","010000010000000000","","22200000","000012379321","Mild","Mild","","AAAAAAAMHXOWCEU"
"020AAAIFQRBXHQDEVU","Phaeolepiota aurea","Gyllenskivling","UNCP","","","True","6","","Skivlingar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAAAAAAMHXOVZHR"
"020AAAIFQRCAUZLKWI","Tricholoma fulvum","Fläckmusseron","CPLD","","060AAAAAAAAAAAAAAA","True","5","FLMUS","Musseroner","1","3","1","2","0","0","15203070|9022695|","01100","0","3","3","1","2","3","100000","000000010000000","1848949|3173843|13169405|","50","120","","","5735846|10742524|15203070|","10","20","13169405|3789561|","3","","12642042|","4","5","5","7","111000000000000000","","33333333","000000149521","Mjöl","Mjöl","","AAAAAAAMHXOVWOD"
"020AAAIFQRBRVUHNJY","Agaricus semotus","Blekröd dvärgchampinjon","CPLD","","060AAAAAAAAAAAAAAA","True","5","BECPJ","Champinjoner","2","3","1","2","0","0","1848949|5924785|16777215|","10000","0","1","3","2","3","1","100000","111000000000000","1848949|8501984|16777215|","20","70","","","9022695|10742524|16777215|","3","6","13292535|16777215|","3","","3752825|","3","4","4","5","011000000000000000","","33333333","000012359310","Mild","Mandel","","AAAAAAAMHXOVTRA"
"020AAAIFQRBYHMPUJM","Pseudohydnum gelatinosum","Gelétaggsvamp","CPLD","","060AAAAAAAAAAAAAAA","True","10","","Gelésvampar","2","2","1","2","1","0","","0","1","3","3","3","1","3","000100","100000000000000","3292255|4219257|13749694|16777215|","20","70","10","15","","","","13754087|","3","","13754087|16777215|","5","6","5","8","010100000000000000","","33322113","000000149421","Mild","Mild","","AAAAAAAMHXOVQVS"
"020AAAIFQRBXHQHVPB","Phaeolus schweinitzii","Grovticka","CPLD","","060AAAAAAAAAAAAAAA","True","6","GVTKA","Tickor","2","2","1","2","1","0","","0","1","3","3","3","1","3","111100","100000000000000","1848949|3789561|12642042|16777215|","100","300","40","100","","","","5735846|8118779|","3","","8501984|13891070|","3","4","5","8","111000000000000000","","13313023","100000139532","Okänd","Okänd","","AAAAAAAMHXOVOYL"
"020AAAIFQRBRXAHHCV","Amanita vaginata","Grå kamskivling","CPLD","","060AAAAAAAAAAAAAAA","True","4","GÅKMS","Flugsvampar","2","3","1","2","0","0","13690602|16777215|","10000","0","3","3","0","3","3","100000","111000000000000","5855577|13690602|","40","100","","","13359844|16777215|","10","20","13690602|16777215|","3","","13690602|16777215|","9","12","9","12","010001000000000000","","33333333","000001359210","Mild","Mild","","AAAAAAAMHXOVNEE"
"020AAAIFQRBXVLMGDB","Pholiota alnicola","Gul flamskivling","CPLD","","060AAAAAAAAAAAAAAA","True","5","","Tofsskivlingar","2","2","1","2","0","0","1537232|8118779|14219262|","00110","0","3","3","3","0","1","010100","110000000000000","3647739|8118779|13562608|","20","100","","","3173843|14219262|","5","10","5735846|10742524|","3","","5615069|","5","6","8","11","010000100000000000","","33333333","000000159421","Sötaktig","Mild","","AAAAAAAMHXOVLLC"
